feature_code,year,measurement,units,value,scottish_health_survey_indicator,sex,council_name,long,lat
S92000003,2019,Percent,Percent Of Adults,16,Alcohol consumption: Non-drinker,All,Scotland Wide,NA,NA
S92000003,2019,Percent,Percent Of Adults,71,Obesity: Not obese,All,Scotland Wide,NA,NA
S92000003,2019,Mean,WEMWBS Score,49.7,Mental wellbeing,Male,Scotland Wide,NA,NA
S92000003,2019,Percent,Percent Of Adults,35,Life satisfaction: Below the mode (0-Extremely dissatisfied to 7),Male,Scotland Wide,NA,NA
S92000003,2019,Percent,Percent Of Adults,34,Life satisfaction: Below the mode (0-Extremely dissatisfied to 7),Female,Scotland Wide,NA,NA
S92000003,2018,Percent,Percent Of Adults,19,Alcohol consumption: Non-drinker,Female,Scotland Wide,NA,NA
S92000003,2019,Percent,Percent Of Adults,31,Long-term illness: Limiting long-term illness,Male,Scotland Wide,NA,NA
S92000003,2018,Percent,Percent Of Adults,7,E-cigarette use: Currently using,Female,Scotland Wide,NA,NA
S92000003,2019,Percent,Percent Of Adults,33,Long-term illness: Limiting long-term illness,All,Scotland Wide,NA,NA
S92000003,2019,Percent,Percent Of Adults,7,E-cigarette use: Currently using,Male,Scotland Wide,NA,NA
S92000003,2019,Percent,Percent Of Adults,88,"Provide any regular help or care for any sick, disabled or frail person: No",Male,Scotland Wide,NA,NA
S92000003,2019,Percent,Percent Of Adults,72,Obesity: Not obese,Male,Scotland Wide,NA,NA
S92000003,2019,Mean,Units of alcohol,16.2,Alcohol consumption (mean weekly units),Male,Scotland Wide,NA,NA
S92000003,2019,Mean,WEMWBS Score,49.7,Mental wellbeing,Female,Scotland Wide,NA,NA
S92000003,2018,Mean,WEMWBS Score,49.7,Mental wellbeing,All,Scotland Wide,NA,NA
S92000003,2018,Mean,WEMWBS Score,49.7,Mental wellbeing,Male,Scotland Wide,NA,NA
S92000003,2019,Mean,WEMWBS Score,49.7,Mental wellbeing,All,Scotland Wide,NA,NA
S92000003,2019,Percent,Percent Of Adults,85,"Provide any regular help or care for any sick, disabled or frail person: No",All,Scotland Wide,NA,NA
S92000003,2019,Percent,Percent Of Adults,83,"Provide any regular help or care for any sick, disabled or frail person: No",Female,Scotland Wide,NA,NA
S92000003,2018,Percent,Percent Of Adults,35,Long-term illness: Limiting long-term illness,Female,Scotland Wide,NA,NA
S92000003,2019,Mean,Units of alcohol,8.8,Alcohol consumption (mean weekly units),Female,Scotland Wide,NA,NA
S92000003,2018,Mean,WEMWBS Score,49.8,Mental wellbeing,Female,Scotland Wide,NA,NA
S92000003,2018,Percent,Percent Of Adults,71,Obesity: Not obese,All,Scotland Wide,NA,NA
S92000003,2018,Percent,Percent Of Adults,19,Self-assessed general health: Fair,Male,Scotland Wide,NA,NA
S92000003,2018,Percent,Percent Of Adults,19,Self-assessed general health: Fair,All,Scotland Wide,NA,NA
S92000003,2018,Percent,Percent Of Adults,30,Long-term illness: Limiting long-term illness,Male,Scotland Wide,NA,NA
S92000003,2018,Percent,Percent Of Adults,7,E-cigarette use: Currently using,All,Scotland Wide,NA,NA
S92000003,2018,Percent,Percent Of Adults,4,Summary activity levels: Low activity,Male,Scotland Wide,NA,NA
S92000003,2019,Percent,Percent Of Adults,3,Summary activity levels: Low activity,Male,Scotland Wide,NA,NA
S92000003,2018,Percent,Percent Of Adults,20,Smoking status: Current smoker,All,Scotland Wide,NA,NA
S92000003,2019,Percent,Percent Of Adults,19,Self-assessed general health: Fair,Female,Scotland Wide,NA,NA
S92000003,2018,Percent,Percent Of Adults,18,Smoking status: Current smoker,Female,Scotland Wide,NA,NA
S92000003,2019,Percent,Percent Of Adults,19,Smoking status: Current smoker,All,Scotland Wide,NA,NA
S92000003,2018,Percent,Percent Of Adults,19,Self-assessed general health: Fair,Female,Scotland Wide,NA,NA
S92000003,2018,Percent,Percent Of Adults,4,Summary activity levels: Low activity,All,Scotland Wide,NA,NA
S92000003,2018,Percent,Percent Of Adults,21,Smoking status: Current smoker,Male,Scotland Wide,NA,NA
S92000003,2018,Percent,Percent Of Adults,16,Alcohol consumption: Non-drinker,All,Scotland Wide,NA,NA
S92000003,2018,Percent,Percent Of Adults,8,E-cigarette use: Currently using,Male,Scotland Wide,NA,NA
S92000003,2019,Percent,Percent Of Adults,7,E-cigarette use: Currently using,Female,Scotland Wide,NA,NA
S92000003,2018,Percent,Percent Of Adults,13,Alcohol consumption: Non-drinker,Male,Scotland Wide,NA,NA
S92000003,2019,Percent,Percent Of Adults,34,Life satisfaction: Below the mode (0-Extremely dissatisfied to 7),All,Scotland Wide,NA,NA
S92000003,2019,Percent,Percent Of Adults,19,Alcohol consumption: Non-drinker,Female,Scotland Wide,NA,NA
S92000003,2018,Percent,Percent Of Adults,32,Long-term illness: Limiting long-term illness,All,Scotland Wide,NA,NA
S92000003,2019,Percent,Percent Of Adults,14,Alcohol consumption: Non-drinker,Male,Scotland Wide,NA,NA
S92000003,2018,Percent,Percent Of Adults,5,Summary activity levels: Low activity,Female,Scotland Wide,NA,NA
S92000003,2019,Percent,Percent Of Adults,4,Summary activity levels: Low activity,All,Scotland Wide,NA,NA
S92000003,2019,Percent,Percent Of Adults,7,E-cigarette use: Currently using,All,Scotland Wide,NA,NA
S92000003,2019,Percent,Percent Of Adults,36,Long-term illness: Limiting long-term illness,Female,Scotland Wide,NA,NA
S92000003,2018,Percent,Percent Of Adults,34,Alcohol consumption: Hazardous/Harmful drinker,Male,Scotland Wide,NA,NA
S92000003,2019,Percent,Percent Of Adults,84,Any cardiovascular condition: No cardiovascular condition,Male,Scotland Wide,NA,NA
S92000003,2019,Mean,Portions of fruit & vegetables,3.2,Fruit & vegetable consumption (mean daily portions),All,Scotland Wide,NA,NA
S92000003,2019,Mean,Portions of fruit & vegetables,3.4,Fruit & vegetable consumption (mean daily portions),Female,Scotland Wide,NA,NA
S92000003,2019,Mean,Portions of fruit & vegetables,3,Fruit & vegetable consumption (mean daily portions),Male,Scotland Wide,NA,NA
S92000003,2018,Mean,Portions of fruit & vegetables,3.2,Fruit & vegetable consumption (mean daily portions),All,Scotland Wide,NA,NA
S92000003,2018,Percent,Percent Of Adults,30,Obesity: Obese,Female,Scotland Wide,NA,NA
S92000003,2018,Percent,Percent Of Adults,84,Any cardiovascular condition: No cardiovascular condition,Male,Scotland Wide,NA,NA
S92000003,2018,Percent,Percent Of Adults,28,Obesity: Obese,Male,Scotland Wide,NA,NA
S92000003,2019,Percent,Percent Of Adults,16,Alcohol consumption: Hazardous/Harmful drinker,Female,Scotland Wide,NA,NA
S92000003,2018,Mean,Portions of fruit & vegetables,3.4,Fruit & vegetable consumption (mean daily portions),Female,Scotland Wide,NA,NA
S92000003,2019,Percent,Percent Of Adults,28,Obesity: Obese,Male,Scotland Wide,NA,NA
S92000003,2018,Percent,Percent Of Adults,16,Alcohol consumption: Hazardous/Harmful drinker,Female,Scotland Wide,NA,NA
S92000003,2019,Percent,Percent Of Adults,51,Long-term illness: No long-term illness,Female,Scotland Wide,NA,NA
S92000003,2019,Percent,Percent Of Adults,56,Long-term illness: No long-term illness,Male,Scotland Wide,NA,NA
S92000003,2018,Percent,Percent Of Adults,56,Long-term illness: No long-term illness,Male,Scotland Wide,NA,NA
S92000003,2019,Percent,Percent Of Adults,53,Long-term illness: No long-term illness,All,Scotland Wide,NA,NA
S92000003,2018,Percent,Percent Of Adults,29,Obesity: Obese,All,Scotland Wide,NA,NA
S92000003,2019,Percent,Percent Of Adults,58,General health questionnaire (GHQ-12): Score 0,All,Scotland Wide,NA,NA
S92000003,2019,Percent,Percent Of Adults,84,Doctor-diagnosed asthma: No,All,Scotland Wide,NA,NA
S92000003,2018,Mean,Portions of fruit & vegetables,3,Fruit & vegetable consumption (mean daily portions),Male,Scotland Wide,NA,NA
S92000003,2019,Percent,Percent Of Adults,30,Obesity: Obese,Female,Scotland Wide,NA,NA
S92000003,2019,Percent,Percent Of Adults,83,Doctor-diagnosed asthma: No,Female,Scotland Wide,NA,NA
S92000003,2019,Percent,Percent Of Adults,84,Doctor-diagnosed asthma: No,Male,Scotland Wide,NA,NA
S92000003,2018,Percent,Percent Of Adults,70,Obesity: Not obese,Female,Scotland Wide,NA,NA
S92000003,2019,Percent,Percent Of Adults,63,Overweight: Overweight (including obese),Female,Scotland Wide,NA,NA
S92000003,2019,Percent,Percent Of Adults,70,Obesity: Not obese,Female,Scotland Wide,NA,NA
S92000003,2018,Percent,Percent Of Adults,65,Overweight: Overweight (including obese),All,Scotland Wide,NA,NA
S92000003,2019,Percent,Percent Of Adults,65,Overweight: Overweight (including obese),All,Scotland Wide,NA,NA
S92000003,2018,Percent,Percent Of Adults,68,Overweight: Overweight (including obese),Male,Scotland Wide,NA,NA
S92000003,2019,Percent,Percent Of Adults,16,Doctor-diagnosed asthma: Yes,Male,Scotland Wide,NA,NA
S92000003,2018,Percent,Percent Of Adults,72,Obesity: Not obese,Male,Scotland Wide,NA,NA
S92000003,2019,Percent,Percent Of Adults,16,Doctor-diagnosed asthma: Yes,All,Scotland Wide,NA,NA
S92000003,2018,Mean,Units of alcohol,16.7,Alcohol consumption (mean weekly units),Male,Scotland Wide,NA,NA
S92000003,2019,Mean,Units of alcohol,12.5,Alcohol consumption (mean weekly units),All,Scotland Wide,NA,NA
S92000003,2018,Percent,Percent Of Adults,62,Overweight: Overweight (including obese),Female,Scotland Wide,NA,NA
S92000003,2019,Percent,Percent Of Adults,17,Doctor-diagnosed asthma: Yes,Female,Scotland Wide,NA,NA
S92000003,2019,Percent,Percent Of Adults,24,Alcohol consumption: Hazardous/Harmful drinker,All,Scotland Wide,NA,NA
S92000003,2019,Percent,Percent Of Adults,85,Any cardiovascular condition: No cardiovascular condition,Female,Scotland Wide,NA,NA
S92000003,2018,Percent,Percent Of Adults,25,Alcohol consumption: Hazardous/Harmful drinker,All,Scotland Wide,NA,NA
S92000003,2019,Percent,Percent Of Adults,29,Obesity: Obese,All,Scotland Wide,NA,NA
S92000003,2019,Percent,Percent Of Adults,84,Any cardiovascular condition: No cardiovascular condition,All,Scotland Wide,NA,NA
S92000003,2018,Percent,Percent Of Adults,84,Any cardiovascular condition: No cardiovascular condition,All,Scotland Wide,NA,NA
S92000003,2019,Percent,Percent Of Adults,68,Overweight: Overweight (including obese),Male,Scotland Wide,NA,NA
S92000003,2018,Mean,Units of alcohol,8.7,Alcohol consumption (mean weekly units),Female,Scotland Wide,NA,NA
S92000003,2019,Percent,Percent Of Adults,33,Alcohol consumption: Hazardous/Harmful drinker,Male,Scotland Wide,NA,NA
S92000003,2018,Mean,Units of alcohol,12.7,Alcohol consumption (mean weekly units),All,Scotland Wide,NA,NA
S92000003,2018,Percent,Percent Of Adults,85,Any cardiovascular condition: No cardiovascular condition,Female,Scotland Wide,NA,NA
S92000003,2019,Percent,Percent Of Adults,19,General health questionnaire (GHQ-12): Score 4+,Female,Scotland Wide,NA,NA
S92000003,2018,Percent,Percent Of Adults,53,Alcohol consumption: Moderate drinker,Male,Scotland Wide,NA,NA
S92000003,2018,Percent,Percent Of Adults,59,Alcohol consumption: Moderate drinker,All,Scotland Wide,NA,NA
S92000003,2019,Percent,Percent Of Adults,80,E-cigarette use: Never used,Male,Scotland Wide,NA,NA
S92000003,2019,Percent,Percent Of Adults,16,Any cardiovascular condition: Has a cardiovascular condition,Male,Scotland Wide,NA,NA
S92000003,2019,Percent,Percent Of Adults,54,Alcohol consumption: Moderate drinker,Male,Scotland Wide,NA,NA
