year,life_expectancy,sex,simd_quintiles,council_name
2017,81.14,Female,All,Aberdeen City
2010,81.07,Female,All,Aberdeen City
2015,80.84,Female,All,Aberdeen City
2008,80.55,Female,All,Aberdeen City
1997,79.28,Female,All,Aberdeen City
2008,75.6,Male,All,Aberdeen City
2002,74.14,Male,All,Aberdeen City
2003,79.99,Female,All,Aberdeen City
2010,76.55,Male,All,Aberdeen City
1995,72.86,Male,All,Aberdeen City
2014,80.95,Female,All,Aberdeen City
2016,76.9,Male,All,Aberdeen City
2007,80.3,Female,All,Aberdeen City
2009,76.14,Male,All,Aberdeen City
2014,76.57,Male,All,Aberdeen City
2012,81.24,Female,All,Aberdeen City
2000,73.7,Male,All,Aberdeen City
1999,79.12,Female,All,Aberdeen City
1995,78.65,Female,All,Aberdeen City
1994,77.94,Female,All,Aberdeen City
2015,76.4,Male,All,Aberdeen City
2003,74.41,Male,All,Aberdeen City
2016,81.05,Female,All,Aberdeen City
2001,79.59,Female,All,Aberdeen City
1996,72.8,Male,All,Aberdeen City
1997,73.2,Male,All,Aberdeen City
2004,74.91,Male,All,Aberdeen City
2005,80.14,Female,All,Aberdeen City
1999,73.8,Male,All,Aberdeen City
2013,76.73,Male,All,Aberdeen City
2000,79.3,Female,All,Aberdeen City
2017,76.9,Male,All,Aberdeen City
2006,75.13,Male,All,Aberdeen City
2007,75.3,Male,All,Aberdeen City
1994,73.18,Male,All,Aberdeen City
1998,73.64,Male,All,Aberdeen City
2004,80.01,Female,All,Aberdeen City
1992,72.64,Male,All,Aberdeen City
2012,77.03,Male,All,Aberdeen City
1993,77.93,Female,All,Aberdeen City
1993,73.2,Male,All,Aberdeen City
2006,80.18,Female,All,Aberdeen City
2013,81,Female,All,Aberdeen City
2011,77.01,Male,All,Aberdeen City
2002,80,Female,All,Aberdeen City
2011,81.07,Female,All,Aberdeen City
2005,74.86,Male,All,Aberdeen City
2009,80.79,Female,All,Aberdeen City
1992,77.99,Female,All,Aberdeen City
1998,79.27,Female,All,Aberdeen City
1996,78.91,Female,All,Aberdeen City
2001,73.84,Male,All,Aberdeen City
1992,75.31,Both,All,Aberdeen City
1993,75.56,Both,All,Aberdeen City
1994,75.56,Both,All,Aberdeen City
1995,75.75,Both,All,Aberdeen City
1996,75.85,Both,All,Aberdeen City
1997,76.24,Both,All,Aberdeen City
1998,76.45,Both,All,Aberdeen City
1999,76.46,Both,All,Aberdeen City
2000,76.5,Both,All,Aberdeen City
2001,76.72,Both,All,Aberdeen City
2002,77.07,Both,All,Aberdeen City
2003,77.2,Both,All,Aberdeen City
2004,77.46,Both,All,Aberdeen City
2005,77.5,Both,All,Aberdeen City
2006,77.66,Both,All,Aberdeen City
2007,77.8,Both,All,Aberdeen City
2008,78.07,Both,All,Aberdeen City
2009,78.47,Both,All,Aberdeen City
2010,78.81,Both,All,Aberdeen City
2011,79.04,Both,All,Aberdeen City
2012,79.13,Both,All,Aberdeen City
2013,78.87,Both,All,Aberdeen City
2014,78.76,Both,All,Aberdeen City
2015,78.62,Both,All,Aberdeen City
2016,78.97,Both,All,Aberdeen City
2017,79.02,Both,All,Aberdeen City
2006,77.49,Male,All,Aberdeenshire
2003,80.84,Female,All,Aberdeenshire
2009,78,Male,All,Aberdeenshire
2015,79.24,Male,All,Aberdeenshire
1997,80.22,Female,All,Aberdeenshire
