Generated by http://statistics.gov.scot,2020-12-07T13:26:05+00:00
http://statistics.gov.scot/data/age-at-first-birth,Age of First Time Mothers
Reference Period,2000/01-2002/03
Age,19 years and under
Measure (cell values): ,"Count(First Time Mothers), Ratio(Percent Of First Time Mothers)"

,,http://statistics.gov.scot/def/measure-properties/count,http://statistics.gov.scot/def/measure-properties/ratio
http://purl.org/linked-data/sdmx/2009/dimension#refArea,Reference Area,Count,Ratio
http://statistics.gov.scot/id/statistical-geography/S92000003,Scotland,11098,16.14
http://statistics.gov.scot/id/statistical-geography/S12000033,Aberdeen City,447,14.33
http://statistics.gov.scot/id/statistical-geography/S12000034,Aberdeenshire,263,8.73
http://statistics.gov.scot/id/statistical-geography/S12000041,Angus,203,16.44
http://statistics.gov.scot/id/statistical-geography/S12000035,Argyll and Bute,108,12.78
http://statistics.gov.scot/id/statistical-geography/S12000036,City of Edinburgh,725,11.51
http://statistics.gov.scot/id/statistical-geography/S12000005,Clackmannanshire,139,20.93
http://statistics.gov.scot/id/statistical-geography/S12000006,Dumfries and Galloway,333,19.75
http://statistics.gov.scot/id/statistical-geography/S12000042,Dundee City,465,25.01
http://statistics.gov.scot/id/statistical-geography/S12000008,East Ayrshire,321,20.52
http://statistics.gov.scot/id/statistical-geography/S12000045,East Dunbartonshire,109,9.81
http://statistics.gov.scot/id/statistical-geography/S12000010,East Lothian,154,13.64
http://statistics.gov.scot/id/statistical-geography/S12000011,East Renfrewshire,71,6.34
http://statistics.gov.scot/id/statistical-geography/S12000014,Falkirk,317,14.93
http://statistics.gov.scot/id/statistical-geography/S12000047,Fife,858,18.07
http://statistics.gov.scot/id/statistical-geography/S12000049,Glasgow City,1667,19.23
http://statistics.gov.scot/id/statistical-geography/S12000017,Highland,446,17.24
http://statistics.gov.scot/id/statistical-geography/S12000018,Inverclyde,266,24.05
http://statistics.gov.scot/id/statistical-geography/S12000019,Midlothian,187,16.76
http://statistics.gov.scot/id/statistical-geography/S12000020,Moray,168,15.07
http://statistics.gov.scot/id/statistical-geography/S12000013,Na h-Eileanan Siar,29,10.82
http://statistics.gov.scot/id/statistical-geography/S12000021,North Ayrshire,392,21.41
http://statistics.gov.scot/id/statistical-geography/S12000050,North Lanarkshire,907,18.04
http://statistics.gov.scot/id/statistical-geography/S12000023,Orkney Islands,25,14.53
http://statistics.gov.scot/id/statistical-geography/S12000048,Perth and Kinross,196,12.02
http://statistics.gov.scot/id/statistical-geography/S12000038,Renfrewshire,448,17.96
http://statistics.gov.scot/id/statistical-geography/S12000026,Scottish Borders,164,13.12
http://statistics.gov.scot/id/statistical-geography/S12000027,Shetland Islands,38,13.43
http://statistics.gov.scot/id/statistical-geography/S12000028,South Ayrshire,223,16.91
http://statistics.gov.scot/id/statistical-geography/S12000029,South Lanarkshire,586,13.92
